cat	subcat	var	descr	missing	vartype
Enhancements	Drug enhancements	m34_dr1a	Presence of mandatory sentence: trigger: repeated offender: offense: drug poss	9	cat
Enhancements	Drug enhancements	m35_dr1b	Requires underlying sentence	9	cat
Enhancements	Drug enhancements	m36_dr1c	Requires judge to impose sentence	9	cat
Enhancements	Drug enhancements	m37_dr1d	Mandatory sentence affects release	9	cat
Enhancements	Drug enhancements	m38_dr1e	Type of mandatory sentence	99	cat
Enhancements	Drug enhancements	m39_dr1f	Min sentencence (months)	999	quant
Enhancements	Drug enhancements	m40_dr2a	Presence of mandatory sentence: trigger: firearm: offense: drug sale	9	cat
Enhancements	Drug enhancements	m41_dr2b	Requires underlying sentence	9	cat
Enhancements	Drug enhancements	m42_dr2c	Requires judge to impose sentence	9	cat
Enhancements	Drug enhancements	m43_dr2d	Mandatory sentence affects release	9	cat
Enhancements	Drug enhancements	m44_dr2e	Type of mandatory sentence	99	cat
Enhancements	Drug enhancements	m45_dr2f	Min sentencence (months)	999	quant
Enhancements	Drug enhancements	m46_dr3a	Presence of mandatory sentence: trigger: age-specific victim: offense: drug sale	9	cat
Enhancements	Drug enhancements	m47_dr3b	Requires underlying sentence	9	cat
Enhancements	Drug enhancements	m48_dr3c	Requires judge to impose sentence	9	cat
Enhancements	Drug enhancements	m49_dr3d	Mandatory sentence affects release	9	cat
Enhancements	Drug enhancements	m50_dr3e	Type of mandatory sentence	99	cat
Enhancements	Drug enhancements	m51_dr3f	Min sentencence (months)	999	quant
Enhancements	Bodily harm enhancements	m52_vi1a	Presence of mandatory sentence: trigger: bodily harm: offense: robbery	9	cat
Enhancements	Bodily harm enhancements	m53_vi1b	Requires underlying sentence	9	cat
Enhancements	Bodily harm enhancements	m54_vi1c	Requires judge to impose sentence	9	cat
Enhancements	Bodily harm enhancements	m55_vi1d	Mandatory sentence affects release	9	cat
Enhancements	Bodily harm enhancements	m56_vi1e	Type of mandatory sentence	99	cat
Enhancements	Bodily harm enhancements	m57_vi1f	Min sentencence (months)	999	quant
Enhancements	Bodily harm enhancements	m58_vi2a	Presence of mandatory sentence: trigger: bodily harm: offense: burglary	9	cat
Enhancements	Bodily harm enhancements	m59_vi2b	Requires underlying sentence	9	cat
Enhancements	Bodily harm enhancements	m60_vi2c	Requires judge to impose sentence	9	cat
Enhancements	Bodily harm enhancements	m61_vi2d	Mandatory sentence affects release	9	cat
Enhancements	Bodily harm enhancements	m62_vi2e	Type of mandatory sentence	9	cat
Enhancements	Bodily harm enhancements	m63_vi2f	Min sentencence (months)	9	quant
Drug policy	Severity levels	dr_0a	# of severity levels for cocaine poss	9	quant
Drug policy	Severity levels	dr_0b	# of severity levels for cocaine sale	9	quant
Drug policy	Severity levels	mar_spos	# of severity levels for marijuana poss	9	quant
Drug policy	Severity levels	mar_ssal	# of severity levels for marijuana sale	9	quant
Drug policy	Severity levels	her_spos	# of severity levels for heroin poss	9	quant
Drug policy	Severity levels	her_ssal	# of severity levels for heroin sale	9	quant
Drug policy	Max/Min sentences	dr_1a	Cocaine possession: max sentence for min quantity (mo)	999	quant
Drug policy	Max/Min sentences	dr_1b	Cocaine sale: max sentence for min quantity (mo)	9999	quant
Drug policy	Max/Min sentences	dr_2a	Cocaine possession: min sentence for 28oz or most similar quantity (mo)	999	quant
Drug policy	Max/Min sentences	dr_2b	Cocaine sale: min sentence for 28oz or most similar quantity (mo)	999	quant
Drug policy	Max/Min sentences	he_min1o	Heroin poss: min sentence for 1 oz or most similar quantity (mo)	999	quant
Drug policy	Max/Min sentences	he_min_1	Heroin sale: min sentence for 1 oz or most similar quantity (mo)	999	quant
Drug policy	Max/Min sentences	mar_min_	Marijuana poss: min sentence for 1 lb or equivalent (mo)	99	quant
Drug policy	Max/Min sentences	mar_mi_1	Marijuana sale: min sentence for 1 lb or equivalent (mo)	99	quant
Drug policy	Sentence enhancements	dr_3coc	# of sentence enhancements for cocaine (1=sale, 2=poss, 3=both)	99	quant
Drug policy	Sentence enhancements	dr_3mar	# of sentence enhancements for marijuana (1=sale, 2=poss, 3=both)	99	quant
Drug policy	Sentence enhancements	dr_3oth	# of sentence enhancements for other drugs (1=sale, 2=poss, 3=both)	99	quant
Habitual offender	Presence of HOL	hol_2str2	Presence of two-strikes law	9	cat
Habitual offender	Presence of HOL	hol_3str2	Presence of three-strikes law	9	cat
Habitual offender	Presence of HOL	hol_drug	Presence of habitual offender laws for drug offenders	9	cat
Habitual offender	Presence of HOL	hol_vio	Presence of habitual offender laws for violent offenders	9	cat
Habitual offender	Presence of HOL	hol_sex	Presence of habitual offender laws for sex offenders	9	cat
Habitual offender	Two-strikes law	hol_2str	Presence of two-strikes law	9	cat
Habitual offender	Two-strikes law	hol2_pro	All prior felony offense qualify	9	cat
Habitual offender	Two-strikes law	hol2_cuo	All current felony offenses qualify	9	cat
Habitual offender	Two-strikes law	hol2_alt	Statute req judge to alter sentence	9	cat
Habitual offender	Two-strikes law	hol2_man	Mandatory incarceration	9	cat
Habitual offender	Two-strikes law	hol2_st1	Sentence varies by offense	9	cat
Habitual offender	Two-strikes law	hol2_st2	Life is max available for most serious offense class	9	cat
Habitual offender	Two-strikes law	hol2_st3	Max sentence for lowest felony class (mo)	9999	quant
Habitual offender	Two-strikes law	prior2	Prior conviction triggers law	9	cat
Habitual offender	Two-strikes law	time_fr2	Undeterminate time frame for previous offenses	9	cat
Habitual offender	Three-strikes law	hol_3str	Presence of three-strikes law	9	cat
Habitual offender	Three-strikes law	hol3_pro	All prior felony offense qualify	9	cat
Habitual offender	Three-strikes law	hol3_cuo	All current felony offenses qualify	9	cat
Habitual offender	Three-strikes law	hol3_alt	Statute requires judge to alter sentence	9	cat
Habitual offender	Three-strikes law	hol3_man	Mandatory incarceration	9	cat
Habitual offender	Three-strikes law	hol3_st1	Sentence varies by offense	9	cat
Habitual offender	Three-strikes law	hol3_st2	Life is max available for most serious offense class	9	cat
Habitual offender	Three-strikes law	hol3_st3	Max sentence for lowest felony class (mo)	9999	quant
Habitual offender	Three-strikes law	prior3	Prior conviction triggers law	9	cat
Habitual offender	Three-strikes law	time_fr3	Undeterminate time frame for previous offenses	9	cat
